User_Id,BorisJohnson
User_Name,Boris Johnson #StayHomeSaveLives
User_Profile_Image_Link,http://pbs.twimg.com/profile_images/1200430685560983553/xRebdCDg_normal.jpg
User_Profile_Description,Prime Minister of the United Kingdom and @Conservatives leader. Member of Parliament for Uxbridge and South Ruislip. #StayHomeSaveLives
User_Tweet_Count,3452
User_Likes_Count,440
User_Following_Count,459
Users_Followers_Count,2599384
Users_Account_Age,1861
Users_Avg_Tweets_Per_Day,1.85
Users_Protected_Status,False
